name,brand,price,original_price,discount,url,image_url
Robin Siyah Kadın Kol Çantası,Kombinoloji,301.95,765.6,,https://justyol.com/en/products/robin-siyah-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/robin-siyah-kadin-kol-cantasi---4951.jpg?v=1739540550
Elena Acı Kahve Kadın Omuz Çanta,Kombinoloji,287.1,622.05,,https://justyol.com/en/products/elena-aci-kahve-kadin-omuz-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/elena-aci-kahve-kadin-omuz-canta-7b-a37.jpg?v=1739027576
Elena Haki Kadın Omuz Çanta,Kombinoloji,287.1,622.05,,https://justyol.com/en/products/elena-haki-kadin-omuz-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/elena-haki-kadin-omuz-canta-2d85-4.jpg?v=1739027575
Elena Bordo Kadın Omuz Çanta,Kombinoloji,287.1,622.05,,https://justyol.com/en/products/elena-bordo-kadin-omuz-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/elena-bordo-kadin-omuz-canta-9bdd-c.jpg?v=1739027572
Elena Krem Kadın Omuz Çanta,Kombinoloji,287.1,622.05,,https://justyol.com/en/products/elena-krem-kadin-omuz-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/elena-krem-kadin-omuz-canta-1065f2.jpg?v=1739027571
Elena Siyah Kadın Omuz Çanta,Kombinoloji,287.1,622.05,,https://justyol.com/en/products/elena-siyah-kadin-omuz-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/elena-siyah-kadin-omuz-canta--cbbaa6.jpg?v=1739027568
Loren Acı Kahve Kadın Baget Çanta,Kombinoloji,254.1,478.5,,https://justyol.com/en/products/loren-aci-kahve-kadin-baget-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/loren-aci-kahve-kadin-baget-canta-1-b51b.jpg?v=1738867782
Steel Deri Bordo Kadın Kol Çantası,Kombinoloji,297.0,622.05,,https://justyol.com/en/products/steel-deri-bordo-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/steel-deri-bordo-kadin-kol-cantasi-697-9a.jpg?v=1738264713
Loren Taba Kadın Baget Çanta,Kombinoloji,254.1,478.5,,https://justyol.com/en/products/loren-taba-kadin-baget-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/loren-taba-kadin-baget-canta-ea-120.jpg?v=1738264707
Loren Bordo Kadın Baget Çanta,Kombinoloji,254.1,478.5,,https://justyol.com/en/products/loren-bordo-kadin-baget-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/loren-bordo-kadin-baget-canta-5-1e81.jpg?v=1738264702
Ella Siyah Shoulder Bag,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/ella-siyah-shoulder-bag,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/ella-siyah-shoulder-bag---446f.jpg?v=1738248892
Vera Acı Kahve Fermuarlı Omuz Çantası,JWomen,239.25,478.5,,https://justyol.com/en/products/vera-aci-kahve-fermuarli-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/vera-aci-kahve-fermuarli-omuz-cantasi-d179-4.jpg?v=1737705854
Anna Siyah Kadın Kol Çantası,Kombinoloji,301.95,765.6,,https://justyol.com/en/products/anna-siyah-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/anna-siyah-kadin-kol-cantasi-22ee-1.jpg?v=1737146506
Tokyo Ayarlanabilir Askılı Geniş Bölmeli Fermuar Cepli Mıknatıs Kapamalı Kadın Omuz Çantası,Garbalia,211.2,255.75,,https://justyol.com/en/products/tokyo-ayarlanabilir-askili-genis-bolmeli-fermuar-cepli-miknatis-kapamali-kadin-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_05c11cf5-375a-4769-8bf5-c48bded48bec.jpg?v=1737124830
City Kanvas&Vintage Uyumlu Siyah Kol Çantası,JWomen,171.6,526.3,,https://justyol.com/en/products/city-kanvas-vintage-uyumlu-siyah-kol-cantasi-copy,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/city-siyah-kanvas-kol-cantasi--b67d85.jpg?v=1742222254
Cecina Özel Desen Ayarlanabilir Askılı Omuz ve Kol Kahverengi Kadın Çantası,Garbalia,191.4,231.0,,https://justyol.com/en/products/cecina-ozel-desen-ayarlanabilir-askili-omuz-ve-kol-kahverengi-kadin-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_fed74c8a-f835-4c29-9117-c3b39e78df81.jpg?v=1736593089
Oslo Çift Iç Cep Detaylı Dış Fermuar Gözlü Çok Bölmeli Taba Bej Kadın Sırt Çantası,Garbalia,249.15,300.3,,https://justyol.com/en/products/oslo-cift-ic-cep-detayli-dis-fermuar-gozlu-cok-bolmeli-taba-bej-kadin-sirt-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_72a45963-9a19-420d-9936-fb6e13511654.jpg?v=1736593088
Sofia Mıknatıs Kapamalı Geniş Fermuar Bölmeli Orta Boy Kadın Taba Omuz Kol Çantası,Garbalia,178.2,201.3,,https://justyol.com/en/products/sofia-miknatis-kapamali-genis-fermuar-bolmeli-orta-boy-kadin-taba-omuz-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_b6f0adf9-9345-44d6-bdd3-2b0b505c5dd7.jpg?v=1736593086
Nairobi Mıknatıs Kapamalı Yavru Kartlıklı Ayarlanabilir Askılı Kadın Taba Omuz Çantası,Garbalia,168.3,201.3,,https://justyol.com/en/products/nairobi-miknatis-kapamali-yavru-kartlikli-ayarlanabilir-askili-kadin-taba-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_d58997a1-693f-43c8-8de5-5a9de52ac4cc.jpg?v=1736593085
Sofia Mıknatıs Kapamalı Geniş Fermuar Bölmeli Orta Boy Kadın Omuz Kol Çantası,Garbalia,191.4,231.0,,https://justyol.com/en/products/sofia-miknatis-kapamali-genis-fermuar-bolmeli-orta-boy-kadin-bej-omuz-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_791a52d0-d7f7-4a94-bb52-b47f906d261c.jpg?v=1736593084
Doha Mıknatıs Kapaklı Geniş İç Bölmeli Ayarlanabilir Askılı Kadın Taba Omuz Çantası,Garbalia,231.0,277.2,,https://justyol.com/en/products/doha-miknatis-kapakli-genis-i̇c-bolmeli-ayarlanabilir-askili-kadin-taba-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_39f2f8bc-c54e-448a-bbdb-c7d9a51108ac.jpg?v=1736592916
Verafid Krem Kadın Omuz Çantası,Kombinoloji,166.65,526.35,,https://justyol.com/en/products/verafid-krem-kadin-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/verafid-krem-kadin-omuz-cantasi--2c8fc.jpg?v=1735204805
010171 mini çapraz omuz çantasi,Bigdart,198.0,409.2,,https://justyol.com/en/products/010171-mini-capraz-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010171-mini-capraz-omuz-cantasi-siyah-98601.jpg?v=1734432417
kadinkapakli baget çanta 010169,Bigdart,155.1,321.75,,https://justyol.com/en/products/kadinkapakli-baget-canta-010169,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010169-kapakli-baget-canta-siyah-95475.jpg?v=1734539382
armine kadin parlakabiye clutch çanta 010155,Bigdart,226.05,468.6,,https://justyol.com/en/products/armine-kadin-parlakabiye-clutch-canta-010155,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kadin-parlak-abiye-clutch-canta-010155-siyah-94011.jpg?v=1739967205
Şerit Detaylı Siyah Omuz Çantası,Kombinoloji,301.95,765.6,,https://justyol.com/en/products/serit-detayli-siyah-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/serit-detayli-siyah-kol-cantasi-3-6e76.jpg?v=1733241639
Warner Krem Süet Kadın Kol Çantası,Kombinoloji,166.65,478.5,,https://justyol.com/en/products/warner-krem-suet-kadin-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/warner-krem-suet-kol-cantas-5-89af.jpg?v=1733241551
Ella Vizon Shoulder Bag,Kombinoloji,287.1,861.3,,https://justyol.com/en/products/ella-vizon-shoulder-bag,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/ella-vizon-shoulder-bag-42d2-8.jpg?v=1733241418
Liberty Ayarlanabilir Çapraz El Kol Omuz Askılı Fermuarlı Min Yeşili Kadın Mini Çanta,Garbalia,115.5,138.6,,https://justyol.com/en/products/liberty-ayarlanabilir-capraz-el-kol-omuz-askili-fermuarli-min-yesili-kadin-mini-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/1_org_zoom_a827af8b-1393-4431-9661-1dd044666b7e.jpg?v=1732548987
Jules Vizon Omuz Çantası,Kombinoloji,191.4,526.35,,https://justyol.com/en/products/jules-vizon-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/jules-vizon-omuz-cantasi-57d3-3.jpg?v=1730507243
unicornkiz çocuk okul sirt çantasi,DenoKids,226.05,326.7,,https://justyol.com/en/products/unicornkiz-cocuk-okul-sirt-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/CFF-24S1-073_Unicorn_Hologram_Kiz_Cocuk_Okul_Sirt_Cantasi_2.jpg?v=1734115392
Jacob Krem Shopper Kol Çantası,Kombinoloji,166.65,287.1,,https://justyol.com/en/products/jacob-krem-shopper-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/jacob-krem-gercek-deri-canta-07f9ec.jpg?v=1725533864
keçe kapakli mega çok amaçli kutu çamaşir sepeti eşya saklama kutusu 55x40x30 cm,Faiend,240.9,364.65,,https://justyol.com/en/products/kece-kapakli-mega-cok-amacli-kutu-camasir-sepeti-esya-saklama-kutusu-55x40x30-cm,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-mega-cok-amacli-kutu-cama--17aff.jpg?v=1734099009
keçe kapakli mega kutu çamaşir kutusu oyuncak sepeti organizer düzenleyici,Faiend,240.9,364.65,,https://justyol.com/en/products/kece-kapakli-mega-kutu-camasir-kutusu-oyuncak-sepeti-organizer-duzenleyici,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-mega-kutu-camasir-kutusu---455d.jpg?v=1734099007
"keçe kapakli kutu, dekoratif kutu, salon aksesuari, çalişma odasi düzenleyici mini",Faiend,186.45,283.8,,https://justyol.com/en/products/kece-kapakli-kutu-dekoratif-kutu-salon-aksesuari-calisma-odasi-duzenleyici-mini,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-kutu-dekoratif-kutu-salon-bf-f8a.jpg?v=1734099005
keçe kapakli kirli çamaşir sepeti - çok amaçli saklama kutusu 55x40x30 cm mega hurç,Faiend,240.9,364.65,,https://justyol.com/en/products/kece-kapakli-kirli-camasir-sepeti-cok-amacli-saklama-kutusu-55x40x30-cm-mega-hurc,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-kirli-camasir-sepeti-cok--7b6047.jpg?v=1734099000
baby girlyuvarlak torbali oyuncak &amp; kirli sepeti,Faiend,160.05,242.55,,https://justyol.com/en/products/baby-girlyuvarlak-torbali-oyuncak-amp-kirli-sepeti,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/baby-girl-pembe-yuvarlak-torbali-oyunc--0301b.jpg?v=1734098996
yatak örtüsü çeyizlik kutusu,Faiend,466.95,707.85,,https://justyol.com/en/products/yatak-ortusu-ceyizlik-kutusu,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/yatak-ortusu-ceyizlik-kutusu-027-40.jpg?v=1734098978
010176 armine baskili çanta,Bigdart,367.95,760.65,,https://justyol.com/en/products/010176-armine-baskili-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010176-armine-baskili-canta-siyah-99694.jpg?v=1742039120
010172 düz baget omuz çantasi,Bigdart,141.9,292.05,,https://justyol.com/en/products/010172-duz-baget-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010172-duz-baget-omuz-cantasi-siyah-99645.jpg?v=1740049556
010175 armine mini omuz çantasi,Bigdart,169.95,351.45,,https://justyol.com/en/products/010175-armine-mini-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010175-armine-mini-omuz-cantasi-bordo-99551_e892db92-7872-4e11-8687-89083534a780.jpg?v=1742039796
kadindüz baget çanta 010167,Bigdart,141.9,292.05,,https://justyol.com/en/products/kadinduz-baget-canta-010167,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010167-duz-baget-canta-siyah-94149.jpg?v=1742210611
armine kadinaskili mini tote çanta 010164,Bigdart,141.9,292.05,,https://justyol.com/en/products/armine-kadinaskili-mini-tote-canta-010164,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010164-askili-mini-tote-canta-siyah-94118.jpg?v=1742210659
